gene,samp_state,sample,start
TBL1X,escape,peripheral_blood_leukocytes,9463294
TBL1X,escape,buccal,9463294
TBL1X,escape,buffy_coat,9463294
TBL1X,escape,blood,9463294
TBL1X,escape,saliva,9463294
TBL1X,escape,kidney,9463294
TBL1X,escape,muscle,9463294
TBL1X,escape,subcutaneous_fat,9463294
TBL1X,escape,omentum,9463294
TBL1X,escape,stomach,9463294
TBL1X,escape,hair,9463294
TBL1X,escape,heart,9463294
TBL1X,escape,pancreas,9463294
TBL1X,escape,adrenal,9463294
TBL1X,escape,spleen,9463294
TBL1X,escape,lung,9463294
TBL1X,escape,liver,9463294
TBL1X,escape,brain_prefrontal_cortex,9463294
TBL1X,escape,brain,9463294
TBL1X,escape,brain10,9463294
TBL1X,escape,brain20,9463294
TBL1X,escape,brain7,9463294
TBL1X,escape,whole_blood,9463294
TBL1X,escape,PBMC,9463294
TBL1X,escape,cord_blood,9463294
TBL1X,escape,blood_spot,9463294
TBL1X,escape,kidney_tubule,9463294
TBL1X,variable,peripheral_blood_leukocytes,9465160
TBL1X,escape,buccal,9465160
TBL1X,variable,buffy_coat,9465160
TBL1X,escape,blood,9465160
TBL1X,escape,saliva,9465160
TBL1X,escape,kidney,9465160
TBL1X,escape,muscle,9465160
TBL1X,escape,subcutaneous_fat,9465160
TBL1X,escape,omentum,9465160
TBL1X,escape,stomach,9465160
TBL1X,escape,hair,9465160
TBL1X,escape,heart,9465160
TBL1X,escape,pancreas,9465160
TBL1X,escape,adrenal,9465160
TBL1X,escape,spleen,9465160
TBL1X,escape,lung,9465160
TBL1X,escape,liver,9465160
TBL1X,escape,brain_prefrontal_cortex,9465160
TBL1X,escape,brain,9465160
TBL1X,escape,brain10,9465160
TBL1X,escape,brain20,9465160
TBL1X,escape,brain7,9465160
TBL1X,variable,whole_blood,9465160
TBL1X,escape,PBMC,9465160
TBL1X,escape,cord_blood,9465160
TBL1X,escape,blood_spot,9465160
TBL1X,escape,kidney_tubule,9465160
SHROOM2,variable,peripheral_blood_leukocytes,9786455
SHROOM2,uncalled,buccal,9786455
SHROOM2,uncalled,buffy_coat,9786455
SHROOM2,variable,blood,9786455
SHROOM2,uncalled,saliva,9786455
SHROOM2,escape,kidney,9786455
SHROOM2,escape,muscle,9786455
SHROOM2,escape,subcutaneous_fat,9786455
SHROOM2,uncalled,omentum,9786455
SHROOM2,escape,stomach,9786455
SHROOM2,escape,hair,9786455
SHROOM2,escape,heart,9786455
SHROOM2,escape,pancreas,9786455
SHROOM2,escape,adrenal,9786455
SHROOM2,uncalled,spleen,9786455
SHROOM2,escape,lung,9786455
SHROOM2,variable,liver,9786455
SHROOM2,escape,brain_prefrontal_cortex,9786455
SHROOM2,escape,brain,9786455
SHROOM2,escape,brain10,9786455
SHROOM2,escape,brain20,9786455
SHROOM2,escape,brain7,9786455
SHROOM2,variable,whole_blood,9786455
SHROOM2,uncalled,PBMC,9786455
SHROOM2,variable,cord_blood,9786455
SHROOM2,escape,blood_spot,9786455
SHROOM2,variable,kidney_tubule,9786455
WWC3,variable,peripheral_blood_leukocytes,10015754
WWC3,variable,buccal,10015754
WWC3,variable,buffy_coat,10015754
WWC3,inactive,blood,10015754
WWC3,inactive,saliva,10015754
WWC3,inactive,kidney,10015754
WWC3,inactive,muscle,10015754
WWC3,variable,subcutaneous_fat,10015754
WWC3,inactive,omentum,10015754
WWC3,inactive,stomach,10015754
WWC3,inactive,hair,10015754
WWC3,inactive,heart,10015754
WWC3,uncalled,pancreas,10015754
WWC3,inactive,adrenal,10015754
WWC3,inactive,spleen,10015754
WWC3,inactive,lung,10015754
WWC3,inactive,liver,10015754
WWC3,inactive,brain_prefrontal_cortex,10015754
WWC3,inactive,brain,10015754
WWC3,inactive,brain10,10015754
WWC3,inactive,brain20,10015754
WWC3,inactive,brain7,10015754
WWC3,inactive,whole_blood,10015754
WWC3,inactive,PBMC,10015754
WWC3,inactive,cord_blood,10015754
WWC3,variable,blood_spot,10015754
WWC3,inactive,kidney_tubule,10015754
AY660578,inactive,peripheral_blood_leukocytes,11111137
AY660578,inactive,buccal,11111137
AY660578,inactive,buffy_coat,11111137
AY660578,inactive,blood,11111137
AY660578,inactive,saliva,11111137
AY660578,inactive,kidney,11111137
AY660578,inactive,muscle,11111137
AY660578,inactive,subcutaneous_fat,11111137
AY660578,inactive,omentum,11111137
AY660578,inactive,stomach,11111137
AY660578,inactive,hair,11111137
AY660578,inactive,heart,11111137
AY660578,inactive,pancreas,11111137
AY660578,inactive,adrenal,11111137
AY660578,inactive,spleen,11111137
AY660578,inactive,lung,11111137
AY660578,inactive,liver,11111137
AY660578,inactive,brain_prefrontal_cortex,11111137
AY660578,inactive,brain,11111137
AY660578,inactive,brain10,11111137
AY660578,inactive,brain20,11111137
AY660578,inactive,brain7,11111137
AY660578,inactive,whole_blood,11111137
AY660578,inactive,PBMC,11111137
AY660578,inactive,cord_blood,11111137
AY660578,inactive,blood_spot,11111137
AY660578,inactive,kidney_tubule,11111137
HCCS,inactive,peripheral_blood_leukocytes,11111285
HCCS,inactive,buccal,11111285
HCCS,inactive,buffy_coat,11111285
HCCS,inactive,blood,11111285
HCCS,inactive,saliva,11111285
HCCS,inactive,kidney,11111285
HCCS,inactive,muscle,11111285
HCCS,inactive,subcutaneous_fat,11111285
HCCS,inactive,omentum,11111285
HCCS,inactive,stomach,11111285
HCCS,inactive,hair,11111285
HCCS,inactive,heart,11111285
HCCS,inactive,pancreas,11111285
HCCS,inactive,adrenal,11111285
HCCS,inactive,spleen,11111285
HCCS,inactive,lung,11111285
HCCS,inactive,liver,11111285
HCCS,inactive,brain_prefrontal_cortex,11111285
HCCS,inactive,brain,11111285
HCCS,inactive,brain10,11111285
HCCS,inactive,brain20,11111285
HCCS,inactive,brain7,11111285
HCCS,inactive,whole_blood,11111285
HCCS,inactive,PBMC,11111285
HCCS,inactive,cord_blood,11111285
HCCS,inactive,blood_spot,11111285
HCCS,inactive,kidney_tubule,11111285
ARHGAP6,inactive,peripheral_blood_leukocytes,11427772
ARHGAP6,inactive,buccal,11427772
ARHGAP6,inactive,buffy_coat,11427772
ARHGAP6,inactive,blood,11427772
ARHGAP6,inactive,saliva,11427772
ARHGAP6,inactive,kidney,11427772
ARHGAP6,inactive,muscle,11427772
ARHGAP6,inactive,subcutaneous_fat,11427772
ARHGAP6,inactive,omentum,11427772
ARHGAP6,inactive,stomach,11427772
ARHGAP6,inactive,hair,11427772
ARHGAP6,inactive,heart,11427772
ARHGAP6,inactive,pancreas,11427772
ARHGAP6,inactive,adrenal,11427772
ARHGAP6,inactive,spleen,11427772
ARHGAP6,inactive,lung,11427772
ARHGAP6,variable,liver,11427772
ARHGAP6,inactive,brain_prefrontal_cortex,11427772
ARHGAP6,inactive,brain,11427772
ARHGAP6,inactive,brain10,11427772
ARHGAP6,inactive,brain20,11427772
ARHGAP6,inactive,brain7,11427772
ARHGAP6,inactive,whole_blood,11427772
ARHGAP6,inactive,PBMC,11427772
ARHGAP6,inactive,cord_blood,11427772
ARHGAP6,inactive,blood_spot,11427772
ARHGAP6,inactive,kidney_tubule,11427772
ARHGAP6,inactive,peripheral_blood_leukocytes,11665700
ARHGAP6,inactive,buccal,11665700
ARHGAP6,uncalled,buffy_coat,11665700
ARHGAP6,variable,blood,11665700
ARHGAP6,inactive,saliva,11665700
ARHGAP6,inactive,kidney,11665700
ARHGAP6,inactive,muscle,11665700
ARHGAP6,uncalled,subcutaneous_fat,11665700
ARHGAP6,inactive,omentum,11665700
ARHGAP6,inactive,stomach,11665700
ARHGAP6,inactive,hair,11665700
ARHGAP6,inactive,heart,11665700
ARHGAP6,inactive,pancreas,11665700
ARHGAP6,inactive,adrenal,11665700
ARHGAP6,inactive,spleen,11665700
ARHGAP6,uncalled,lung,11665700
ARHGAP6,inactive,liver,11665700
ARHGAP6,inactive,brain_prefrontal_cortex,11665700
ARHGAP6,inactive,brain,11665700
ARHGAP6,inactive,brain10,11665700
ARHGAP6,inactive,brain20,11665700
ARHGAP6,inactive,brain7,11665700
ARHGAP6,inactive,whole_blood,11665700
ARHGAP6,inactive,PBMC,11665700
ARHGAP6,inactive,cord_blood,11665700
ARHGAP6,uncalled,blood_spot,11665700
ARHGAP6,inactive,kidney_tubule,11665700
MSL3,inactive,peripheral_blood_leukocytes,11758158
MSL3,inactive,buccal,11758158
MSL3,inactive,buffy_coat,11758158
MSL3,inactive,blood,11758158
MSL3,inactive,saliva,11758158
MSL3,inactive,kidney,11758158
MSL3,inactive,muscle,11758158
MSL3,inactive,subcutaneous_fat,11758158
MSL3,inactive,omentum,11758158
MSL3,inactive,stomach,11758158
MSL3,inactive,hair,11758158
MSL3,inactive,heart,11758158
MSL3,inactive,pancreas,11758158
MSL3,inactive,adrenal,11758158
MSL3,inactive,spleen,11758158
MSL3,inactive,lung,11758158
MSL3,inactive,liver,11758158
MSL3,inactive,brain_prefrontal_cortex,11758158
MSL3,inactive,brain,11758158
MSL3,inactive,brain10,11758158
MSL3,inactive,brain20,11758158
MSL3,inactive,brain7,11758158
MSL3,inactive,whole_blood,11758158
MSL3,inactive,PBMC,11758158
MSL3,inactive,cord_blood,11758158
MSL3,inactive,blood_spot,11758158
MSL3,inactive,kidney_tubule,11758158
MSL3,inactive,peripheral_blood_leukocytes,11759615
MSL3,inactive,buccal,11759615
MSL3,inactive,buffy_coat,11759615
MSL3,inactive,blood,11759615
MSL3,inactive,saliva,11759615
MSL3,inactive,kidney,11759615
MSL3,inactive,muscle,11759615
MSL3,inactive,subcutaneous_fat,11759615
MSL3,inactive,omentum,11759615
MSL3,inactive,stomach,11759615
MSL3,inactive,hair,11759615
MSL3,inactive,heart,11759615
MSL3,inactive,pancreas,11759615
MSL3,inactive,adrenal,11759615
MSL3,inactive,spleen,11759615
MSL3,inactive,lung,11759615
MSL3,inactive,liver,11759615
MSL3,inactive,brain_prefrontal_cortex,11759615
MSL3,inactive,brain,11759615
MSL3,inactive,brain10,11759615
MSL3,inactive,brain20,11759615
MSL3,inactive,brain7,11759615
MSL3,inactive,whole_blood,11759615
MSL3,inactive,PBMC,11759615
MSL3,inactive,cord_blood,11759615
MSL3,inactive,blood_spot,11759615
MSL3,inactive,kidney_tubule,11759615
PRPS2,inactive,peripheral_blood_leukocytes,12791354
PRPS2,inactive,buccal,12791354
PRPS2,inactive,buffy_coat,12791354
PRPS2,inactive,blood,12791354
PRPS2,inactive,saliva,12791354
PRPS2,inactive,kidney,12791354
PRPS2,inactive,muscle,12791354
PRPS2,inactive,subcutaneous_fat,12791354
PRPS2,inactive,omentum,12791354
PRPS2,inactive,stomach,12791354
PRPS2,inactive,hair,12791354
PRPS2,inactive,heart,12791354
PRPS2,inactive,pancreas,12791354
PRPS2,inactive,adrenal,12791354
PRPS2,inactive,spleen,12791354
PRPS2,inactive,lung,12791354
PRPS2,inactive,liver,12791354
PRPS2,inactive,brain_prefrontal_cortex,12791354
PRPS2,inactive,brain,12791354
PRPS2,inactive,brain10,12791354
PRPS2,inactive,brain20,12791354
PRPS2,inactive,brain7,12791354
PRPS2,inactive,whole_blood,12791354
PRPS2,inactive,PBMC,12791354
PRPS2,inactive,cord_blood,12791354
PRPS2,inactive,blood_spot,12791354
PRPS2,inactive,kidney_tubule,12791354
TCEANC,escape,peripheral_blood_leukocytes,13653105
TCEANC,escape,buccal,13653105
TCEANC,variable,buffy_coat,13653105
TCEANC,escape,blood,13653105
TCEANC,escape,saliva,13653105
TCEANC,escape,kidney,13653105
TCEANC,escape,muscle,13653105
TCEANC,escape,subcutaneous_fat,13653105
TCEANC,escape,omentum,13653105
TCEANC,escape,stomach,13653105
TCEANC,escape,hair,13653105
TCEANC,escape,heart,13653105
TCEANC,escape,pancreas,13653105
TCEANC,escape,adrenal,13653105
TCEANC,escape,spleen,13653105
TCEANC,escape,lung,13653105
TCEANC,escape,liver,13653105
TCEANC,escape,brain_prefrontal_cortex,13653105
TCEANC,escape,brain,13653105
TCEANC,escape,brain10,13653105
TCEANC,escape,brain20,13653105
TCEANC,escape,brain7,13653105
TCEANC,escape,whole_blood,13653105
TCEANC,escape,PBMC,13653105
TCEANC,escape,cord_blood,13653105
TCEANC,escape,blood_spot,13653105
TCEANC,escape,kidney_tubule,13653105
TCEANC,variable,peripheral_blood_leukocytes,13653187
TCEANC,variable,buccal,13653187
TCEANC,escape,buffy_coat,13653187
TCEANC,variable,blood,13653187
TCEANC,escape,saliva,13653187
TCEANC,uncalled,kidney,13653187
TCEANC,escape,muscle,13653187
TCEANC,escape,subcutaneous_fat,13653187
TCEANC,escape,omentum,13653187
TCEANC,escape,stomach,13653187
TCEANC,escape,hair,13653187
TCEANC,escape,heart,13653187
TCEANC,escape,pancreas,13653187
TCEANC,escape,adrenal,13653187
TCEANC,escape,spleen,13653187
TCEANC,escape,lung,13653187
TCEANC,escape,liver,13653187
TCEANC,escape,brain_prefrontal_cortex,13653187
TCEANC,escape,brain,13653187
TCEANC,escape,brain10,13653187
TCEANC,escape,brain20,13653187
TCEANC,escape,brain7,13653187
TCEANC,escape,whole_blood,13653187
TCEANC,escape,PBMC,13653187
TCEANC,variable,cord_blood,13653187
TCEANC,uncalled,blood_spot,13653187
TCEANC,escape,kidney_tubule,13653187
RAB9A,escape,peripheral_blood_leukocytes,13689120
RAB9A,escape,buccal,13689120
RAB9A,escape,buffy_coat,13689120
RAB9A,escape,blood,13689120
RAB9A,escape,saliva,13689120
RAB9A,escape,kidney,13689120
RAB9A,escape,muscle,13689120
RAB9A,escape,subcutaneous_fat,13689120
RAB9A,escape,omentum,13689120
RAB9A,escape,stomach,13689120
RAB9A,escape,hair,13689120
RAB9A,escape,heart,13689120
RAB9A,escape,pancreas,13689120
RAB9A,escape,adrenal,13689120
RAB9A,escape,spleen,13689120
RAB9A,escape,lung,13689120
RAB9A,escape,liver,13689120
RAB9A,escape,brain_prefrontal_cortex,13689120
RAB9A,escape,brain,13689120
RAB9A,escape,brain10,13689120
RAB9A,escape,brain20,13689120
RAB9A,escape,brain7,13689120
RAB9A,escape,whole_blood,13689120
RAB9A,escape,PBMC,13689120
RAB9A,escape,cord_blood,13689120
RAB9A,escape,blood_spot,13689120
RAB9A,escape,kidney_tubule,13689120
TRAPPC2,escape,peripheral_blood_leukocytes,13734634
TRAPPC2,escape,buccal,13734634
TRAPPC2,escape,buffy_coat,13734634
TRAPPC2,escape,blood,13734634
TRAPPC2,escape,saliva,13734634
TRAPPC2,escape,kidney,13734634
TRAPPC2,escape,muscle,13734634
TRAPPC2,escape,subcutaneous_fat,13734634
TRAPPC2,escape,omentum,13734634
TRAPPC2,escape,stomach,13734634
TRAPPC2,escape,hair,13734634
TRAPPC2,escape,heart,13734634
TRAPPC2,escape,pancreas,13734634
TRAPPC2,escape,adrenal,13734634
TRAPPC2,escape,spleen,13734634
TRAPPC2,escape,lung,13734634
TRAPPC2,escape,liver,13734634
TRAPPC2,escape,brain_prefrontal_cortex,13734634
TRAPPC2,escape,brain,13734634
TRAPPC2,escape,brain10,13734634
TRAPPC2,escape,brain20,13734634
TRAPPC2,escape,brain7,13734634
TRAPPC2,escape,whole_blood,13734634
TRAPPC2,escape,PBMC,13734634
TRAPPC2,escape,cord_blood,13734634
TRAPPC2,escape,blood_spot,13734634
TRAPPC2,escape,kidney_tubule,13734634
OFD1,escape,peripheral_blood_leukocytes,13734712
OFD1,escape,buccal,13734712
OFD1,escape,buffy_coat,13734712
OFD1,escape,blood,13734712
OFD1,escape,saliva,13734712
OFD1,escape,kidney,13734712
OFD1,escape,muscle,13734712
OFD1,escape,subcutaneous_fat,13734712
OFD1,escape,omentum,13734712
OFD1,escape,stomach,13734712
OFD1,escape,hair,13734712
OFD1,escape,heart,13734712
OFD1,escape,pancreas,13734712
OFD1,escape,adrenal,13734712
OFD1,escape,spleen,13734712
OFD1,escape,lung,13734712
OFD1,escape,liver,13734712
OFD1,escape,brain_prefrontal_cortex,13734712
OFD1,escape,brain,13734712
OFD1,escape,brain10,13734712
OFD1,escape,brain20,13734712
OFD1,escape,brain7,13734712
OFD1,escape,whole_blood,13734712
OFD1,escape,PBMC,13734712
OFD1,escape,cord_blood,13734712
OFD1,escape,blood_spot,13734712
OFD1,escape,kidney_tubule,13734712
GPM6B,escape,peripheral_blood_leukocytes,13938414
GPM6B,escape,buccal,13938414
GPM6B,escape,buffy_coat,13938414
GPM6B,escape,blood,13938414
GPM6B,escape,saliva,13938414
GPM6B,escape,kidney,13938414
GPM6B,escape,muscle,13938414
GPM6B,escape,subcutaneous_fat,13938414
GPM6B,escape,omentum,13938414
GPM6B,escape,stomach,13938414
GPM6B,escape,hair,13938414
